Datum;Wochentag;Umsatz
24.11.2016;Donnerstag;1031
25.11.2016;Freitag;1080
26.11.2016;Samstag;1466
27.11.2016;Sonntag;2141
28.11.2016;Montag;1375.5
29.11.2016;Dienstag;1220.5
30.11.2016;Mittwoch;1707.5
01.12.2016;Donnerstag;1339.5
02.12.2016;Freitag;2175
03.12.2016;Samstag;2570
04.12.2016;Sonntag;2398
05.12.2016;Montag;1895.5
06.12.2016;Dienstag;1173.5
07.12.2016;Mittwoch;1130
08.12.2016;Donnerstag;2358.5
09.12.2016;Freitag;1913.5
10.12.2016;Samstag;1784.5
11.12.2016;Sonntag;2097
12.12.2016;Montag;1546.5
13.12.2016;Dienstag;1077
14.12.2016;Mittwoch;2527
15.12.2016;Donnerstag;2391.5
16.12.2016;Freitag;2890
17.12.2016;Samstag;2264
18.12.2016;Sonntag;2456
19.12.2016;Montag;1700
20.12.2016;Dienstag;2563
21.12.2016;Mittwoch;2349.5
22.12.2016;Donnerstag;1449.5
23.12.2016;Freitag;1015
25.12.2016;Sonntag;1198.5
26.12.2016;Montag;1484.65
27.12.2016;Dienstag;1816
28.12.2016;Mittwoch;1717
29.12.2016;Donnerstag;2909.5
30.12.2016;Freitag;2606
31.12.2016;Samstag;2638.2
01.01.2017;Sonntag;2294.5
02.01.2017;Montag;1335
03.01.2017;Dienstag;2257
04.01.2017;Mittwoch;2557.5
05.01.2017;Donnerstag;1024
06.01.2017;Freitag;1364.5
07.01.2017;Samstag;938
08.01.2017;Sonntag;867.5
09.01.2017;Montag;1981
10.01.2017;Dienstag;263
11.01.2017;Mittwoch;676.5
12.01.2017;Donnerstag;1766.5
13.01.2017;Freitag;961.7
14.01.2017;Samstag;419
15.01.2017;Sonntag;1300
16.01.2017;Montag;1654
17.01.2017;Dienstag;172.5
18.01.2017;Mittwoch;1482
19.01.2017;Donnerstag;524
20.01.2017;Freitag;449
21.01.2017;Samstag;1375
22.01.2017;Sonntag;2061.5
23.01.2017;Montag;2330
24.01.2017;Dienstag;340.5
25.01.2017;Mittwoch;606
26.01.2017;Donnerstag;865.5
27.01.2017;Freitag;1152.5
28.01.2017;Samstag;1084
29.01.2017;Sonntag;1559
30.01.2017;Montag;2358.5
31.01.2017;Dienstag;1640.5
01.02.2017;Mittwoch;1185
02.02.2017;Donnerstag;1093.05
03.02.2017;Freitag;860.5
04.02.2017;Samstag;903.5
05.02.2017;Sonntag;2330
06.02.2017;Montag;2368.5
07.02.2017;Dienstag;536.5
08.02.2017;Mittwoch;689.5
09.02.2017;Donnerstag;1373.4
10.02.2017;Freitag;1631
11.02.2017;Samstag;825
12.02.2017;Sonntag;2069
13.02.2017;Montag;2008.5
14.02.2017;Dienstag;667
15.02.2017;Mittwoch;944
16.02.2017;Donnerstag;1523.5
17.02.2017;Freitag;981.5
18.02.2017;Samstag;1589.5
19.02.2017;Sonntag;2342
20.02.2017;Montag;2875.5
21.02.2017;Dienstag;568
22.02.2017;Mittwoch;1985.5
23.02.2017;Donnerstag;1330
24.02.2017;Freitag;1140
25.02.2017;Samstag;1347
26.02.2017;Sonntag;2900.5
27.02.2017;Montag;3684
28.02.2017;Dienstag;978
01.03.2017;Mittwoch;1661
02.03.2017;Donnerstag;1224.5
03.03.2017;Freitag;1679
04.03.2017;Samstag;1297
05.03.2017;Sonntag;1685.5
06.03.2017;Montag;2110
07.03.2017;Dienstag;676
08.03.2017;Mittwoch;1670.5
09.03.2017;Donnerstag;1434.5
10.03.2017;Freitag;1567
11.03.2017;Samstag;1072
12.03.2017;Sonntag;2739
13.03.2017;Montag;2204
14.03.2017;Dienstag;868.5
15.03.2017;Mittwoch;1258.5
16.03.2017;Donnerstag;1466
17.03.2017;Freitag;876.5
18.03.2017;Samstag;1847
19.03.2017;Sonntag;3271
20.03.2017;Montag;4549
21.03.2017;Dienstag;1115.5
22.03.2017;Mittwoch;1154
23.03.2017;Donnerstag;2194
24.03.2017;Freitag;2049.45
25.03.2017;Samstag;1143
26.03.2017;Sonntag;2708.5
27.03.2017;Montag;2348.5
28.03.2017;Dienstag;969
29.03.2017;Mittwoch;860
30.03.2017;Donnerstag;1116.5
31.03.2017;Freitag;2134
01.04.2017;Samstag;1957.5
02.04.2017;Sonntag;1942.3
03.04.2017;Montag;1789.5
04.04.2017;Dienstag;919
05.04.2017;Mittwoch;1652.9
06.04.2017;Donnerstag;1341
07.04.2017;Freitag;2308
08.04.2017;Samstag;2121.5
09.04.2017;Sonntag;2163
10.04.2017;Montag;1172.5
11.04.2017;Dienstag;1600.5
12.04.2017;Mittwoch;1949.43
13.04.2017;Donnerstag;3537
14.04.2017;Freitag;2360.5
15.04.2017;Samstag;3081
16.04.2017;Sonntag;5322.5
17.04.2017;Montag;4527
18.04.2017;Dienstag;3114.5
